Pays,Année,Abonnements téléphone (cartes prépayés),Investissements télécommunications (USD),Abonnements téléphone (100 habitants),Lignes d'accès téléphoniques,Recettes télécommunication (USD),Voies d'accès de communication (100 habitants),Continent,Développement
Allemagne,1996,,,7.06,40963900.0,,57.07,Europe,pays développé
Allemagne,1997,,,9.97,40687200.0,,59.56,Europe,pays développé
Allemagne,1998,2087000.0,,16.96,40436720.0,,66.24,Europe,pays développé
Allemagne,1999,5533000.0,,28.56,40110300.0,,77.41,Europe,pays développé
Allemagne,2000,26318000.0,9166666667.0,58.63,39665700.0,52037037037.0,106.88,Europe,pays développé
Allemagne,2001,31374000.0,10267857143.0,68.16,39696100.0,54017857143.0,116.36,Europe,pays développé
Allemagne,2002,31338000.0,6698113208.0,71.68,39650000.0,58490566038.0,123.69,Europe,pays développé
Allemagne,2003,33307000.0,6250000000.0,78.51,39380000.0,72613636364.0,131.81,Europe,pays développé
Allemagne,2004,31374000.0,7125000000.0,90.06,39081000.0,83500000000.0,145.79,Europe,pays développé
Allemagne,2005,40200000.0,7250000000.0,96.04,38995000.0,84125000000.0,156.3,Europe,pays développé
Allemagne,2006,39947000.0,8125000000.0,103.98,38248000.0,82875000000.0,168.6,Europe,pays développé
Allemagne,2007,53433050.0,9726027397.0,118.09,36867000.0,87534246575.0,186.65,Europe,pays développé
Allemagne,2008,60680000.0,10588235294.0,130.61,34230000.0,91617647059.0,199.74,Europe,pays développé
Allemagne,2009,60483000.0,8472222222.0,132.18,32266000.0,83888888889.0,202.07,Europe,pays développé
Allemagne,2010,60249000.0,7866666667.0,133.1,30403000.0,78933333333.0,202.27,Europe,pays développé
Allemagne,2011,63786000.0,8750000000.0,142.17,28290000.0,80277777778.0,211.33,Europe,pays développé
Allemagne,2012,60256490.0,8205128205.0,140.7,26280000.0,74358974359.0,208.1,Europe,pays développé
Allemagne,2013,59412000.0,8800000000.0,142.88,23440000.0,76000000000.0,207.44,Europe,pays développé
Allemagne,2014,55707000.0,10133333333.0,139.08,19850000.0,75733333333.0,200.11,Europe,pays développé
Allemagne,2015,54491000.0,8888888889.0,139.34,16190000.0,63777777778.0,196.75,Europe,pays développé
Allemagne,2016,54349000.0,9222222222.0,157.71,13010000.0,63222222222.0,212.2,Europe,pays développé
Allemagne,2017,54720000.0,9550561798.0,163.38,9030000.0,63707865169.0,214.51,Europe,pays développé
Allemagne,2018,52954380.0,10705882353.0,165.18,4580000.0,67764705882.0,211.89,Europe,pays développé
Australie,1996,,,21.89,9439525.0,,73.69,Océanie,pays développé
Australie,1997,,,24.85,9710350.0,,77.56,Océanie,pays développé
Australie,1998,,,28.71,10001000.0,,82.46,Océanie,pays développé
Australie,1999,409000.0,,33.7,10211000.0,,87.98,Océanie,pays développé
Australie,2000,1350000.0,2330374419.0,42.09,10440000.0,,96.96,Océanie,pays développé
Australie,2001,3300000.0,1880151295.0,57.59,10511000.0,15454404145.0,112.12,Océanie,pays développé
Australie,2002,4120000.0,1806688587.0,64.99,10400000.0,,120.2,Océanie,pays développé
Australie,2003,5400000.0,1959293506.0,72.51,10460000.0,19390909091.0,129.1,Océanie,pays développé
Australie,2004,7080000.0,2396612500.0,82.66,10370000.0,,142.45,Océanie,pays développé
Australie,2005,8504000.0,2859406870.0,91.29,10120000.0,26613740458.0,155.25,Océanie,pays développé
Australie,2006,9700000.0,3671924812.0,96.62,9940000.0,,163.89,Océanie,pays développé
Australie,2007,10150000.0,4074816667.0,102.08,9760000.0,30833333333.0,172.13,Océanie,pays développé
Australie,2008,9990000.0,3630343697.0,104.1,9360000.0,30805042017.0,173.26,Océanie,pays développé
Australie,2009,10580000.0,3057453906.0,111.66,9020000.0,29243750000.0,177.29,Océanie,pays développé
Australie,2010,10970000.0,3527491743.0,102.31,8660000.0,37210091743.0,166.65,Océanie,pays développé
Australie,2011,11435000.0,4567829897.0,109.29,10490000.0,43508247423.0,181.46,Océanie,pays développé
Australie,2012,11810000.0,5410153608.0,108.39,9930000.0,43289690722.0,177.95,Océanie,pays développé
Australie,2013,11845000.0,6195222115.0,108.09,9305000.0,39787019231.0,174.92,Océanie,pays développé
Australie,2014,11485000.0,6369533333.0,108.26,8845000.0,37022972973.0,173.78,Océanie,pays développé
Australie,2015,9255000.0,6048337594.0,109.84,8490000.0,31518421053.0,173.89,Océanie,pays développé
Australie,2016,9300000.0,7297185926.0,111.63,8470000.0,32071481481.0,177.13,Océanie,pays développé
Australie,2017,9320000.0,8924073077.0,113.28,8275000.0,34269230769.0,179.12,Océanie,pays développé
